30,51,80,34,77
39,36,82,76,59
53,64,84,48,66
77,32,66,68,85
45,65,80,58,67
38,84,70,48,63
66,44,40,76,65
40,89,73,59,88
37,45,76,78,45
49,70,36,57,40
31,70,43,31,81
53,42,84,44,82
40,44,84,68,50
80,75,76,80,67
33,39,67,76,67
57,83,42,60,44
63,48,50,57,74
36,68,52,59,52
69,61,77,31,57
81,55,79,50,64
84,30,38,73,71
56,77,88,87,86
68,49,45,41,35
86,42,86,86,61
79,39,83,88,64
88,36,48,85,58
62,86,51,32,79
32,86,74,62,30
69,33,67,88,74
88,61,83,53,76
73,49,63,80,82
74,40,39,74,89
54,79,76,67,37
35,55,49,80,81
39,37,34,65,42
47,34,39,64,50
67,81,42,38,75
53,40,55,63,41
68,51,81,55,34
39,60,80,72,33
78,45,61,63,64
61,80,73,45,36
88,80,52,77,42
72,72,49,41,74
54,61,72,48,63
32,62,45,33,55
56,84,49,33,50
53,61,75,42,71
38,61,69,51,79
36,60,49,42,76
78,55,41,82,40
82,36,42,38,34
53,70,63,47,35
73,49,46,82,53
47,31,59,74,86
85,78,90,90,55
58,79,66,49,60
90,60,90,75,37
54,49,39,48,56
48,44,47,89,80
48,90,66,63,86
69,72,34,54,64
82,50,42,40,37
85,30,74,62,42
43,90,85,34,80
53,83,32,34,52
34,82,69,41,76
81,60,54,79,60
45,82,89,66,76
46,44,77,58,60
64,78,88,63,34
49,50,72,41,65
66,55,57,50,38
53,30,66,51,51
81,34,68,35,87
58,31,40,33,45
74,73,52,64,42
76,90,55,38,71
58,35,45,84,33
49,37,37,35,37
30,88,35,42,74
43,35,82,75,55
53,50,51,79,55
50,43,66,53,43
60,85,89,81,42
65,48,82,49,46
53,77,72,78,78
86,71,73,53,54
79,52,48,40,51
44,30,71,73,31
30,69,86,86,35
56,80,70,66,58
81,39,59,68,51
61,66,38,38,34
69,84,39,42,68
61,82,66,80,70
41,52,41,85,77
73,36,80,85,45
70,86,35,73,89
50,48,76,48,42
